Date,Regime_droit_commun,Regime_derogatoire,Inscriptions_hypotheques,pourcentage_droit_commun,pourcentage_regime_derogatoire,pourcentage_inscriptions_hypotheques
2007-12-31,253592961.3888889,280785606.6666666,127238666.66666666,38.329255660239724,42.439282402392905,19.231461937367364
2008-01-31,227730599.92784995,208114333.33333334,113437068.33333334,41.45968724020964,37.88843121187222,20.65188154791813
2008-02-29,267312750.36075038,174996333.33333334,106664833.33333333,48.693160470755146,31.87698502706707,19.429854502177786
2008-03-31,232691690.47619048,201469000.0,86660000.0,44.677889095273585,38.682987001878764,16.639123902847654
2008-04-30,260819611.1832612,187786000.0,121567000.0,45.74397402954703,32.93493870396434,21.321087266488625
2008-05-31,203140708.7085137,99024333.33333333,101645333.33333333,50.305965645329344,24.522483663608146,25.17155069106251
2008-06-30,238976945.1659452,206602000.0,116490166.66666667,42.517359544410304,36.75740147441647,20.725238981173238
2008-07-31,283900928.2106782,182930500.0,104192666.66666667,49.71785442287855,32.0355133244059,18.246632252715557
2008-08-31,307527228.71572876,116105333.33333333,125619333.33333333,55.99019890529915,21.13881341319714,22.870987681503717
2008-09-30,285319300.5050505,126839318.33333334,97712500.0,55.95910220509851,24.876741130642113,19.164156664259384
2008-10-31,279523186.1919192,122995333.33333333,78716666.66666667,58.08452794231963,25.558258594225506,16.35721346345486
2008-11-30,203240944.44444445,109216968.33333334,87870130.0,50.76860042933929,27.28186803390131,21.9495315367594
2008-12-31,211612065.0,176322833.33333334,76644666.66666667,45.54915475027404,37.95320470742903,16.497640542296917
2009-01-31,153481451.2987013,97113166.66666667,53619833.333333336,50.45172924674816,31.922601392566147,17.62566936068571
2009-02-28,185960972.22222224,168732166.66666666,69925000.0,43.79487242557087,39.737390189734526,16.4677373846946
2009-03-31,158221722.22222224,115223666.66666667,78512500.0,44.95473101106477,32.737912774287075,22.307356214648152
2009-04-30,147825833.33333334,119274833.33333333,46327928.333333336,47.16411830048032,38.054866478705726,14.78101522081396
2009-05-31,125121694.44444445,74855166.66666667,36420333.333333336,52.92858688043746,31.664997904303956,15.406415215258596
2009-06-30,185859361.11111113,116711320.0,69610500.0,49.937871806480345,31.35873760504751,18.703390588472136
2009-07-31,240187305.55555558,172027680.0,86391333.33333333,48.17173318035701,34.50170474841801,17.326562071224984
2009-08-31,216756508.05555558,141348666.66666666,66571333.33333333,51.04038107688308,33.28384405199443,15.675774871122508
2009-09-30,254473478.88888893,149546833.33333334,49939333.333333336,56.05640972282116,32.94275929533737,11.000830981841482
2009-10-31,253896323.31529585,113194000.0,86892666.66666667,55.92639568398445,24.933533303637077,19.140071012378474
2009-11-30,182501876.6915423,114411156.66666666,68488491.66666667,49.94557061006191,31.311078041854866,18.74335134808322
2009-12-31,195154240.55555558,161545333.33333334,62067500.0,46.602097615567466,38.57641715551782,14.821485228914705
2010-01-31,211723194.44444445,211167833.33333334,75211500.0,42.50594659477458,42.39445125392803,15.099602151297386
2010-02-28,228934527.7777778,196561166.66666666,72058666.66666667,46.01196284694073,39.50546553902513,14.482571614034134
2010-03-31,268609026.4646465,146765000.0,88827500.0,53.274139875790475,29.108400569328868,17.617459554880657
2010-04-30,233091740.2597403,93994666.66666667,75678166.66666667,57.872949991684365,23.337371961028673,18.789678047286955
2010-05-31,203532838.38383842,188161333.33333334,56863500.0,45.37495426277573,41.9480805250778,12.676965212146463
2010-06-30,269220794.73304474,114889833.33333333,82928166.66666667,57.64420381543015,24.599633826779495,17.75616235779036
2010-07-31,354240166.6666667,137153500.0,114491000.0,58.466600354082786,22.63689899177731,18.896500654139896
2010-08-31,300770191.1111111,103304000.0,58378166.666666664,65.03809226022807,22.33830107308928,12.623606666682651
2010-09-30,349518750.0,122162583.33333333,72310333.33333333,64.25075445395917,22.456701236232174,13.292544309808669
2010-10-31,331265500.0,132336668.33333333,76290500.0,61.35765855510276,24.511662427619374,14.130679017277883
2010-11-30,348798027.7777778,163238000.0,104197833.33333333,56.60156797435173,26.489618682373422,16.908813343274844
