,date_mutation,valeur_fonciere,code_voie,code_postal,code_com,no_plan,nb_lot,surface_reel_bati,nb_piece_prin,surf_terrain,tt_surf_carez,vente,vente_etat_futur_achev,appartement,dependance,local_indus_com,maison,PE
156,2023-10-13,1027182.0,B021,31320.0,575,553,0,102,4,5445,0.0,4,0,0,1,0,1,31565.148630946263
157,2023-10-13,1339600.0,B022,31840.0,541,912,4,0,0,0,92.1,4,1,0,0,0,0,41165.70686209027
158,2023-02-14,270000.0,3380,31300.0,555,283,2,36,2,0,35.73,2,0,1,1,0,0,8297.05946011076
159,2023-10-13,399700.0,B020,31450.0,4,142,0,90,4,9862,0.0,4,0,0,0,0,1,12282.720985949152
160,2023-06-23,123762.0,8357,31200.0,555,292,1,0,0,0,0.0,1,1,0,0,0,0,3803.187677415659
161,2023-05-30,358000.0,0470,31120.0,460,341,4,60,3,0,0.0,2,0,1,1,0,0,11001.286247109823
162,2023-01-05,100000.0,0574,31600.0,395,307,2,61,3,0,0.0,1,0,0,0,0,1,3072.9849852262073
163,2023-10-13,16404.0,B025,31800.0,247,196,0,0,0,11979,0.0,2,0,0,0,0,0,504.0924569765071
164,2023-07-20,378000.0,0880,31340.0,584,530,0,375,9,966,0.0,2,0,1,0,0,0,11615.883244155066
165,2023-08-28,245300.0,B159,31390.0,107,2530,0,0,0,4,0.0,1,0,0,0,0,0,7538.032168759887
166,2023-01-03,556600.0,0300,31410.0,287,237,0,113,4,934,0.0,2,0,0,1,0,1,17104.23442776907
167,2023-10-20,898120.0,1520,31830.0,424,332,0,120,4,1750,0.0,2,0,0,1,0,1,27599.092749313615
168,2023-12-13,20000.0,0920,31000.0,555,270,1,0,0,0,0.0,1,0,0,1,0,0,614.5969970452416
169,2023-10-16,32500.0,8666,31100.0,555,102,1,16,1,0,0.0,1,0,1,0,0,0,998.7201201985174
170,2023-09-06,318000.0,5789,31200.0,555,286,2,0,0,0,0.0,2,1,0,0,0,0,9772.09225301934
171,2023-10-13,2350.0,B013,31800.0,565,490,0,0,0,2942,0.0,1,0,0,0,0,0,72.21514715281589
172,2023-10-13,1917300.0,B010,31320.0,409,1,0,203,7,648,0.0,5,0,1,1,0,1,58918.34112174207
173,2023-08-29,1594380.0,8544,31500.0,555,388,0,140,5,582,0.0,3,0,0,1,0,1,48995.05800744961
174,2023-10-13,3500.0,B018,31430.0,476,311,0,0,0,15880,0.0,1,0,0,0,0,0,107.55447448291726
175,2023-10-13,1990200.0,B016,31480.0,209,1140,0,282,12,7500,0.0,6,0,0,1,0,1,61158.54717597198
176,2023-10-13,2014000.0,B015,31570.0,480,263,0,202,8,3705,0.0,5,0,0,1,0,1,61889.91760245583
177,2023-09-18,173200.0,5196,31400.0,555,61,4,21,1,0,21.74,2,0,1,1,0,0,5322.409994411791
178,2023-04-14,600000.0,5684,31300.0,555,291,5,72,3,0,72.9,3,0,1,1,0,0,18437.909911357245
179,2023-12-22,1243880.0,3984,31300.0,555,328,5,0,0,0,0.0,5,1,0,0,0,0,38224.245634231745
