Saison;Compagnie Operating;Numéro de vol;Compagnie Marketing;Numéro de vol Marketing;Aéroport de départ;Aéroport d'arrivée;Jour de départ en Local;Jour d'arrivée  en Local;Heure de départ en Local;Heure d'arrivée en Local;Date de début de période;Date de fin  de période;Compagnie propriétaire;Type Avion
W19;Air 26;18;Sham Wing Airlines;5096;Charles de Gaulle International Airport;Noi Bai International Airport;6;7;13:10;06:10;;;Air 26;Airbus A350
W19;Air 26;18;Sham Wing Airlines;5096;Charles de Gaulle International Airport;Noi Bai International Airport;3;4;13:10;06:10;;;Air 26;Airbus A350
W19;Sham Wing Airlines;19;Thai Flying Helicopter Service;2375;John F Kennedy International Airport;Paris-Orly Airport;1;2;19:30;09:00;;;Sham Wing Airlines;Boeing 777-200/Boeing 777-200ER
W19;Sham Wing Airlines;19;Thai Flying Helicopter Service;2375;John F Kennedy International Airport;Paris-Orly Airport;2;3;19:30;09:00;;;Sham Wing Airlines;Boeing 777-200/Boeing 777-200ER
W19;Sham Wing Airlines;19;Thai Flying Helicopter Service;2375;John F Kennedy International Airport;Paris-Orly Airport;3;4;19:30;09:00;;;Sham Wing Airlines;Boeing 777-200/Boeing 777-200ER
W19;Sham Wing Airlines;19;Thai Flying Helicopter Service;2375;John F Kennedy International Airport;Paris-Orly Airport;4;5;19:30;09:00;;;Sham Wing Airlines;Boeing 777-200/Boeing 777-200ER
W19;Sham Wing Airlines;19;Thai Flying Helicopter Service;2375;John F Kennedy International Airport;Paris-Orly Airport;5;6;19:30;09:00;;;Sham Wing Airlines;Boeing 777-200/Boeing 777-200ER
W19;Sham Wing Airlines;19;Thai Flying Helicopter Service;2375;John F Kennedy International Airport;Paris-Orly Airport;6;7;19:30;09:00;;;Sham Wing Airlines;Boeing 777-200/Boeing 777-200ER
W19;Sham Wing Airlines;19;Thai Flying Helicopter Service;2375;John F Kennedy International Airport;Paris-Orly Airport;7;1;19:30;09:00;;;Sham Wing Airlines;Boeing 777-200/Boeing 777-200ER
W19;Air 26;19;Sham Wing Airlines;5097;Noi Bai International Airport;Charles de Gaulle International Airport;3;4;23:50;06:30;;;Air 26;Airbus A350
W19;Air 26;19;Sham Wing Airlines;5097;Noi Bai International Airport;Charles de Gaulle International Airport;2;3;23:50;06:30;;;Air 26;Airbus A350
W19;Air 26;19;Sham Wing Airlines;5097;Noi Bai International Airport;Charles de Gaulle International Airport;5;6;23:50;06:30;;;Air 26;Airbus A350
W19;Air 26;19;Sham Wing Airlines;5097;Noi Bai International Airport;Charles de Gaulle International Airport;4;5;23:50;06:30;;;Air 26;Airbus A350
W19;Air 26;19;Sham Wing Airlines;5097;Noi Bai International Airport;Charles de Gaulle International Airport;7;1;23:50;06:30;;;Air 26;Airbus A350
W19;Air 26;19;Sham Wing Airlines;5097;Noi Bai International Airport;Charles de Gaulle International Airport;6;7;23:50;06:30;;;Air 26;Airbus A350
W19;Air 26;19;Sham Wing Airlines;5097;Noi Bai International Airport;Charles de Gaulle International Airport;1;2;23:50;06:30;;;Air 26;Airbus A350
W19;Sham Wing Airlines;22;Thai Flying Helicopter Service;2212;Charles de Gaulle International Airport;John F Kennedy International Airport;1;1;08:00;10:30;;;Sham Wing Airlines;Boeing 777-300ER
W19;Sham Wing Airlines;22;Thai Flying Helicopter Service;2212;Charles de Gaulle International Airport;John F Kennedy International Airport;2;2;08:00;10:30;;;Sham Wing Airlines;Boeing 777-300ER
W19;Sham Wing Airlines;22;Thai Flying Helicopter Service;2212;Charles de Gaulle International Airport;John F Kennedy International Airport;3;3;08:00;10:30;;;Sham Wing Airlines;Boeing 777-300ER
W19;Sham Wing Airlines;22;Thai Flying Helicopter Service;2212;Charles de Gaulle International Airport;John F Kennedy International Airport;4;4;08:00;10:30;;;Sham Wing Airlines;Boeing 777-300ER
W19;Sham Wing Airlines;22;Thai Flying Helicopter Service;2212;Charles de Gaulle International Airport;John F Kennedy International Airport;5;5;08:00;10:30;;;Sham Wing Airlines;Boeing 777-300ER
W19;Sham Wing Airlines;22;Thai Flying Helicopter Service;2212;Charles de Gaulle International Airport;John F Kennedy International Airport;6;6;08:00;10:30;;;Sham Wing Airlines;Boeing 777-300ER
W19;Sham Wing Airlines;22;Thai Flying Helicopter Service;2212;Charles de Gaulle International Airport;John F Kennedy International Airport;7;7;08:00;10:30;;;Sham Wing Airlines;Boeing 777-300ER
W19;Sham Wing Airlines;23;#N/A;;John F Kennedy International Airport;Charles de Gaulle International Airport;1;2;16:40;05:50;;;Sham Wing Airlines;Boeing 777-300ER
W19;Sham Wing Airlines;23;#N/A;;John F Kennedy International Airport;Charles de Gaulle International Airport;2;3;16:40;05:50;;;Sham Wing Airlines;Boeing 777-300ER
W19;Sham Wing Airlines;23;#N/A;;John F Kennedy International Airport;Charles de Gaulle International Airport;3;4;16:40;05:50;;;Sham Wing Airlines;Boeing 777-300ER
W19;Sham Wing Airlines;23;#N/A;;John F Kennedy International Airport;Charles de Gaulle International Airport;4;5;16:40;05:50;;;Sham Wing Airlines;Boeing 777-300ER
W19;Sham Wing Airlines;23;#N/A;;John F Kennedy International Airport;Charles de Gaulle International Airport;5;6;16:40;05:50;;;Sham Wing Airlines;Boeing 777-300ER
W19;Sham Wing Airlines;23;#N/A;;John F Kennedy International Airport;Charles de Gaulle International Airport;6;7;16:40;05:50;;;Sham Wing Airlines;Boeing 777-300ER
W19;Sham Wing Airlines;23;#N/A;;John F Kennedy International Airport;Charles de Gaulle International Airport;7;1;16:40;05:50;;;Sham Wing Airlines;Boeing 777-300ER
