index,date_mutation,valeur_fonciere,num_voie,type_voie,code_voie,voie,code_postal,commune,code_dep,code_com,no_plan,no_vol,nb_lot,code_typ_local,surface_reel_bati,nb_piece_prin,surf_terrain,tt_surf_carez,vente,vente_etat_futur_achev,appartement,dependance,local_indus_com,maison
26/07/2023,26/07/2023,550000.0,,,B192,NICOL,31500,TOULOUSE,31,555,503,,0,,0,0,102,0.0,1,0,0,0,0,0
04/04/2023,04/04/2023,406000.0,6,RUE,1203,DE LA TUILERIE,31120,PORTET SUR GARONNE,31,433,241,,2,2,65,3,0,0.0,2,0,1,1,0,0
12/05/2023,12/05/2023,614000.0,318,RTE,7988,DE SAINT SIMON,31100,TOULOUSE,31,555,88,,0,3,143,5,964,0.0,2,0,0,1,0,1
22/11/2023,22/11/2023,1.0,,VCHE,1580,VIEUX CHEM DE SAINT CLAR,31600,MURET,31,395,324,,0,,0,0,25,0.0,1,0,0,0,0,0
26/04/2023,26/04/2023,448500.0,9,RUE,5075,DE LAS BRUGUES,31100,TOULOUSE,31,555,325,,2,3,64,3,0,64.49,2,0,1,1,0,0
27/10/2023,27/10/2023,2200000.0,123,RUE,0807,JEAN DABADIE,31600,MURET,31,395,108,,0,1,220,8,5084,0.0,4,0,0,1,0,1
29/11/2023,29/11/2023,424000.0,5,RUE,0802,DU MINERVOIS,31770,COLOMIERS,31,149,32,,7,3,63,3,0,63.66,4,0,1,1,0,0
21/03/2023,21/03/2023,103400.0,1,RUE,8708,VAN DYCK,31200,TOULOUSE,31,555,285,,1,2,53,2,0,54.49,1,0,1,0,0,0
18/12/2023,18/12/2023,214000.0,2,RUE,8452,THEODORE DE BANVILLE,31200,TOULOUSE,31,555,7,,0,1,72,3,467,0.0,1,0,0,0,0,1
19/01/2023,19/01/2023,112000.0,43,RUE,0091,AUGUSTE RODIN,31130,BALMA,31,44,257,,1,2,35,2,0,35.06,1,0,1,0,0,0
01/02/2023,01/02/2023,645000.0,81,BD,2600,DEODAT DE SEVERAC,31300,TOULOUSE,31,555,427,,5,3,64,3,0,64.04,3,0,1,1,0,0
03/01/2023,03/01/2023,375000.0,36,AV,0338,GEORGES POMPIDOU,31270,CUGNAUX,31,157,598,,3,3,64,3,0,0.0,3,0,1,1,0,0
15/11/2023,15/11/2023,1954000.0,,,B063,CHABANASSI,31300,TOULOUSE,31,555,91,,3,,0,0,65235,0.0,17,1,0,0,0,0
13/10/2023,13/10/2023,16456.0,,,B059,LE VILLAGE,31450,FOURQUEVAUX,31,192,1014,,0,,0,0,187,0.0,2,0,0,0,0,0
28/07/2023,28/07/2023,558000.0,43,RUE,7320,RAYMOND IV,31000,TOULOUSE,31,555,62,,3,3,40,2,0,43.67,3,0,1,1,0,0
22/09/2023,22/09/2023,418500.0,22,ALL,0712,JEAN DUFOUR,31770,COLOMIERS,31,149,819,,0,1,99,4,406,0.0,1,0,0,0,0,1
10/07/2023,10/07/2023,372000.0,223,RTE,7448,DE REVEL,31400,TOULOUSE,31,555,115,,2,3,64,3,0,0.0,2,0,1,1,0,0
13/10/2023,13/10/2023,1802.0,,,B045,PLAPACH,31800,LABARTHE RIVIERE,31,247,428,,0,,0,0,1802,0.0,1,0,0,0,0,0
13/10/2023,13/10/2023,2350.0,,,B044,PEYREMILLA,31800,LABARTHE RIVIERE,31,247,1781,,0,,0,0,2282,0.0,1,0,0,0,0,0
23/11/2023,23/11/2023,330000.0,20,AV,2975,EMILE DEWOITINE,31200,TOULOUSE,31,555,346,,2,2,49,2,0,50.12,2,0,1,1,0,0
04/01/2023,04/01/2023,279000.0,1,PL,1712,DE CARPENTRAS,31500,TOULOUSE,31,555,7,,4,2,70,3,0,0.0,2,0,1,1,0,0
